model,split,batch_size,lr,epochs,test_mae,test_mse,test_rmse,test_r2
mobilenet,identity,32,1e-05,,9.744367599487305,131.3019561767578,11.458706855773926,-0.059500932693481445
resnet18,random,16,1e-05,,9.802845001220703,130.60325622558594,11.428177833557129,0.15834897756576538
resnet34,identity,32,1e-05,,9.89692211151123,127.39891815185547,11.287113189697266,-0.028006434440612793
resnet18,identity,32,1e-05,,10.073766708374023,139.1762237548828,11.797297477722168,-0.1230398416519165
efficientnet,random,32,1e-05,,10.354662895202637,161.52633666992188,12.709300994873047,-0.04092967510223389
resnet18,random,16,1e-05,,10.365754127502441,148.90802001953125,12.202787399291992,0.040386855602264404
resnet18,identity,16,1e-05,,10.431241035461426,143.22817993164062,11.96779727935791,-0.15573585033416748
resnet18,random,32,1e-05,,10.439249038696289,145.17446899414062,12.048836708068848,0.06444710493087769
resnet34,random,32,1e-05,,10.814684867858887,155.28533935546875,12.46135425567627,-0.0007107257843017578
efficientnet,identity,32,1e-05,,10.917292594909668,186.67578125,13.662934303283691,-0.506322979927063
mobilenet,identity,32,1e-05,,11.100769996643066,160.83218383789062,12.681962966918945,-0.29778599739074707
resnet18,identity,32,1e-05,,11.409719467163086,173.81138610839844,13.183754920959473,-0.4025176763534546
efficientnet,random,16,1e-05,,11.931735038757324,208.33248901367188,14.433727264404297,-0.34256434440612793
mobilenet,random,32,1e-05,,12.188529968261719,198.8206787109375,14.10037899017334,-0.2812669277191162
resnet18,random,32,1e-05,,12.601579666137695,205.75003051757812,14.343989372253418,-0.32592201232910156
efficientnet,random,32,1e-05,,12.604408264160156,248.5829315185547,15.766512870788574,-0.6019515991210938
